stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PB38,PB38,PB38-Avenida Dorsal Esq. / Av. El Guanaco,-33.3959183604487,-70.6579953933323,
PB40,PB40,PB40-Avenida Dorsal Esq. / Diag. José M. Caro,-33.3954802848467,-70.65377504641,
PB41,PB41,PB41-Avenida Dorsal Esq. / Evaristo Lillo,-33.3956534518561,-70.6505611074207,
PB42,PB42,PB42-Avenida Dorsal Esq. / Lemura,-33.395797610388,-70.6483626068052,
PB43,PB43,PB43-Avenida Dorsal Esq. / Rubén Darío,-33.3962188180836,-70.6452643785617,
PB44,PB44,PB44-Parada 3 / (M) Dorsal,-33.3968809270644,-70.64345792462,
PB45,PB45,PB45-Pedro Donoso Esq. / María Del Pilar,-33.3980845447278,-70.6383343212384,
PB46,PB46,PB46-Pedro Donoso Esq. / Las Violetas,-33.3988415913233,-70.6350739850247,
PB47,PB47,PB47-Pedro Donoso Esq. / Gac Ovalle,-33.3998716594185,-70.6303999861078,
PB48,PB48,PB48-Reina De Chile Esq. / Pasaje Progreso,-33.4022166720048,-70.6286260344779,
PB49,PB49,PB49-Reina De Chile Esq. / Marqués De Montepío,-33.4037993428961,-70.6265701511268,
PB50,PB50,PB50-Reina De Chile Esq. / Las Canteras,-33.4060117833313,-70.6235471053468,
PI1330,PI1330,PI1330-General Amengual Esq. / Padre V. Irarrázaval,-33.4625275711759,-70.6936209920079,
PI1201,PI1201,PI1201-Santa Teresa Esq. / Arica,-33.4594156655826,-70.6917818803899,
PI549,PI549,PI549-Avenida 5 De Abril Esq. / Con Con,-33.4596466503994,-70.6939096795464,
PI909,PI909,PI909-Concón Esq. / Manuel Thompson,-33.4569857155927,-70.6950588158035,
PI910,PI910,PI910-Parada 6 / Concón,-33.4555129262722,-70.6956078872588,
PI1079,PI1079,PI1079-Avenida Ecuador Esq. / Benedicto Xv,-33.4533025594925,-70.6988979987775,
PI1080,PI1080,PI1080-Avenida Ecuador Esq. / Radal,-33.4541215736286,-70.7012565119729,
PI1081,PI1081,PI1081-Avenida Ecuador Esq. / Santa Petronila,-33.4550674765279,-70.7036179811749,
PI2,PI2,PI2-Parada 1 / 5 De Abril   Las Rejas,-33.4641124191785,-70.7051160171379,
PI49,PI49,PI49-Avenida Las Rejas Esq. / Quitralco,-33.467225455111,-70.7048360049836,
PI50,PI50,PI50-Avenida Las Rejas Esq. / Colu,-33.4712705544813,-70.7044088415674,
PI51,PI51,PI51-Avenida Las Rejas Esq. / Mailef,-33.4756284356478,-70.7032059795314,
PI53,PI53,PI53-Suiza Esq. / Cam. Melipilla,-33.4825395870845,-70.6972900448333,
PI1375,PI1375,PI1375-Parada 3 / Departamental   P. Aguirre Cerda,-33.4838423958646,-70.6946806835228,
